,City,Building,AC_id,num_AC_modules,ABC_id,num_ABC_modules
95,duluth,warehouse,AC3,2,None,0
96,fairbanks,full_service_restaurant,AC3,1,None,0
97,fairbanks,hospital,AC3,35,None,0
98,fairbanks,large_hotel,AC3,9,None,0
99,fairbanks,large_office,AC3,29,None,0
100,fairbanks,medium_office,AC3,4,None,0
101,fairbanks,midrise_apartment,AC3,2,None,0
102,fairbanks,outpatient_healthcare,AC3,7,None,0
103,fairbanks,primary_school,AC3,6,None,0
104,fairbanks,quick_service_restaurant,AC3,1,None,0
105,fairbanks,secondary_school,AC3,25,None,0
106,fairbanks,small_hotel,AC3,3,None,0
107,fairbanks,small_office,AC3,1,None,0
108,fairbanks,stand_alone_retail,AC3,2,None,0
109,fairbanks,strip_mall,AC3,2,None,0
110,fairbanks,supermarket,AC3,2,None,0
111,fairbanks,warehouse,AC3,1,None,0
112,helena,full_service_restaurant,AC3,2,None,0
113,helena,hospital,AC3,36,None,0
114,helena,large_hotel,AC3,9,None,0
115,helena,large_office,AC3,30,None,0
116,helena,medium_office,AC3,7,None,0
117,helena,midrise_apartment,AC3,2,None,0
118,helena,outpatient_healthcare,AC3,9,None,0
119,helena,primary_school,AC3,9,None,0
120,helena,quick_service_restaurant,AC3,1,None,0
121,helena,secondary_school,AC3,37,None,0
122,helena,small_hotel,AC3,3,None,0
123,helena,small_office,AC3,1,None,0
124,helena,stand_alone_retail,AC3,3,None,0
125,helena,strip_mall,AC3,3,None,0
126,helena,supermarket,AC3,4,None,0
127,helena,warehouse,AC3,2,None,0
128,houston,full_service_restaurant,AC3,3,None,0
129,houston,hospital,AC3,58,None,0
130,houston,large_hotel,AC3,14,None,0
131,houston,large_office,AC3,51,None,0
132,houston,medium_office,AC3,11,None,0
133,houston,midrise_apartment,AC3,4,None,0
134,houston,outpatient_healthcare,AC3,14,None,0
135,houston,primary_school,AC3,17,None,0
136,houston,quick_service_restaurant,AC3,2,None,0
137,houston,secondary_school,AC3,82,None,0
138,houston,small_hotel,AC3,6,None,0
139,houston,small_office,AC3,1,None,0
140,houston,stand_alone_retail,AC3,7,None,0
141,houston,strip_mall,AC3,6,None,0
142,houston,supermarket,AC3,8,None,0
143,houston,warehouse,AC3,4,None,0
144,las_vegas,full_service_restaurant,AC3,3,None,0
145,las_vegas,hospital,AC3,45,None,0
146,las_vegas,large_hotel,AC3,13,None,0
147,las_vegas,large_office,AC3,38,None,0
148,las_vegas,medium_office,AC3,12,None,0
149,las_vegas,midrise_apartment,AC3,4,None,0
150,las_vegas,outpatient_healthcare,AC3,13,None,0
151,las_vegas,primary_school,AC3,17,None,0
152,las_vegas,quick_service_restaurant,AC3,2,None,0
153,las_vegas,secondary_school,AC3,67,None,0
154,las_vegas,small_hotel,AC3,5,None,0
155,las_vegas,small_office,AC3,1,None,0
156,las_vegas,stand_alone_retail,AC3,5,None,0
157,las_vegas,strip_mall,AC3,5,None,0
158,las_vegas,supermarket,AC3,8,None,0
159,las_vegas,warehouse,AC3,3,None,0
160,los_angeles,full_service_restaurant,AC3,2,None,0
161,los_angeles,hospital,AC3,45,None,0
162,los_angeles,large_hotel,AC3,11,None,0
163,los_angeles,large_office,AC3,35,None,0
164,los_angeles,medium_office,AC3,6,None,0
165,los_angeles,midrise_apartment,AC3,2,None,0
166,los_angeles,outpatient_healthcare,AC3,7,None,0
167,los_angeles,primary_school,AC3,9,None,0
168,los_angeles,quick_service_restaurant,AC3,1,None,0
169,los_angeles,secondary_school,AC3,41,None,0
170,los_angeles,small_hotel,AC3,3,None,0
171,los_angeles,small_office,AC3,1,None,0
172,los_angeles,stand_alone_retail,AC3,2,None,0
173,los_angeles,strip_mall,AC3,2,None,0
174,los_angeles,supermarket,AC3,2,None,0
175,los_angeles,warehouse,AC3,1,None,0
176,miami,full_service_restaurant,AC3,3,None,0
177,miami,hospital,AC3,58,None,0
178,miami,large_hotel,AC3,15,None,0
179,miami,large_office,AC3,54,None,0
180,miami,medium_office,AC3,9,None,0
181,miami,midrise_apartment,AC3,3,None,0
182,miami,outpatient_healthcare,AC3,12,None,0
183,miami,primary_school,AC3,15,None,0
184,miami,quick_service_restaurant,AC3,2,None,0
185,miami,secondary_school,AC3,75,None,0
186,miami,small_hotel,AC3,5,None,0
187,miami,small_office,AC3,1,None,0
188,miami,stand_alone_retail,AC3,6,None,0
189,miami,strip_mall,AC3,5,None,0
190,miami,supermarket,AC3,6,None,0
191,miami,warehouse,AC3,10,None,0
192,minneapolis,full_service_restaurant,AC3,3,None,0
193,minneapolis,hospital,AC3,52,None,0
194,minneapolis,large_hotel,AC3,14,None,0
195,minneapolis,large_office,AC3,46,None,0
196,minneapolis,medium_office,AC3,10,None,0
197,minneapolis,midrise_apartment,AC3,3,None,0
198,minneapolis,outpatient_healthcare,AC3,12,None,0
199,minneapolis,primary_school,AC3,15,None,0
200,minneapolis,quick_service_restaurant,AC3,2,None,0
201,minneapolis,secondary_school,AC3,67,None,0
202,minneapolis,small_hotel,AC3,5,None,0
203,minneapolis,small_office,AC3,1,None,0
204,minneapolis,stand_alone_retail,AC3,5,None,0
205,minneapolis,strip_mall,AC3,5,None,0
206,minneapolis,supermarket,AC3,6,None,0
207,minneapolis,warehouse,AC3,3,None,0
208,phoenix,full_service_restaurant,AC3,4,None,0
209,phoenix,hospital,AC3,53,None,0
210,phoenix,large_hotel,AC3,15,None,0
211,phoenix,large_office,AC3,50,None,0
212,phoenix,medium_office,AC3,13,None,0
213,phoenix,midrise_apartment,AC3,4,None,0
214,phoenix,outpatient_healthcare,AC3,15,None,0
215,phoenix,primary_school,AC3,20,None,0
216,phoenix,quick_service_restaurant,AC3,2,None,0
217,phoenix,secondary_school,AC3,84,None,0
218,phoenix,small_hotel,AC3,6,None,0
219,phoenix,small_office,AC3,1,None,0
220,phoenix,stand_alone_retail,AC3,7,None,0
221,phoenix,strip_mall,AC3,6,None,0
222,phoenix,supermarket,AC3,10,None,0
223,phoenix,warehouse,AC3,5,None,0
224,san_francisco,full_service_restaurant,AC3,2,None,0
225,san_francisco,hospital,AC3,39,None,0
226,san_francisco,large_hotel,AC3,10,None,0
227,san_francisco,large_office,AC3,34,None,0
228,san_francisco,medium_office,AC3,5,None,0
229,san_francisco,midrise_apartment,AC3,2,None,0
230,san_francisco,outpatient_healthcare,AC3,8,None,0
231,san_francisco,primary_school,AC3,10,None,0
232,san_francisco,quick_service_restaurant,AC3,1,None,0
233,san_francisco,secondary_school,AC3,49,None,0
234,san_francisco,small_hotel,AC3,3,None,0
235,san_francisco,small_office,AC3,1,None,0
236,san_francisco,stand_alone_retail,AC3,2,None,0
237,san_francisco,strip_mall,AC3,2,None,0
238,san_francisco,supermarket,AC3,2,None,0
239,san_francisco,warehouse,AC3,1,None,0
240,seattle,full_service_restaurant,AC3,2,None,0
241,seattle,hospital,AC3,40,None,0
242,seattle,large_hotel,AC3,10,None,0
243,seattle,large_office,AC3,34,None,0
244,seattle,medium_office,AC3,6,None,0
245,seattle,midrise_apartment,AC3,2,None,0
246,seattle,outpatient_healthcare,AC3,8,None,0
247,seattle,primary_school,AC3,7,None,0
248,seattle,quick_service_restaurant,AC3,1,None,0
249,seattle,secondary_school,AC3,39,None,0
250,seattle,small_hotel,AC3,3,None,0
251,seattle,small_office,AC3,1,None,0
252,seattle,stand_alone_retail,AC3,2,None,0
253,seattle,strip_mall,AC3,3,None,0
254,seattle,supermarket,AC3,3,None,0
255,seattle,warehouse,AC3,2,None,0
