,City,Building,num_PV_modules
115,helena,large_office,1710
116,helena,medium_office,792
117,helena,midrise_apartment,374
118,helena,outpatient_healthcare,658
119,helena,primary_school,3280
120,helena,quick_service_restaurant,135
121,helena,secondary_school,5625
122,helena,small_hotel,477
123,helena,small_office,285
124,helena,stand_alone_retail,1098
125,helena,strip_mall,999
126,helena,supermarket,1998
127,helena,warehouse,2190
128,houston,full_service_restaurant,247
129,houston,hospital,1785
130,houston,large_hotel,714
131,houston,large_office,1710
132,houston,medium_office,792
133,houston,midrise_apartment,374
134,houston,outpatient_healthcare,658
135,houston,primary_school,3280
136,houston,quick_service_restaurant,135
137,houston,secondary_school,5625
138,houston,small_hotel,477
139,houston,small_office,285
140,houston,stand_alone_retail,1098
141,houston,strip_mall,999
142,houston,supermarket,1998
143,houston,warehouse,2190
144,las_vegas,full_service_restaurant,247
145,las_vegas,hospital,1785
146,las_vegas,large_hotel,714
147,las_vegas,large_office,1710
148,las_vegas,medium_office,792
149,las_vegas,midrise_apartment,374
150,las_vegas,outpatient_healthcare,658
151,las_vegas,primary_school,3280
152,las_vegas,quick_service_restaurant,135
153,las_vegas,secondary_school,5625
154,las_vegas,small_hotel,477
155,las_vegas,small_office,285
156,las_vegas,stand_alone_retail,1098
157,las_vegas,strip_mall,999
158,las_vegas,supermarket,1998
159,las_vegas,warehouse,2190
160,los_angeles,full_service_restaurant,247
161,los_angeles,hospital,1785
162,los_angeles,large_hotel,714
163,los_angeles,large_office,1710
164,los_angeles,medium_office,792
165,los_angeles,midrise_apartment,374
166,los_angeles,outpatient_healthcare,658
167,los_angeles,primary_school,3280
168,los_angeles,quick_service_restaurant,135
169,los_angeles,secondary_school,5625
170,los_angeles,small_hotel,477
171,los_angeles,small_office,285
172,los_angeles,stand_alone_retail,1098
173,los_angeles,strip_mall,999
174,los_angeles,supermarket,1998
175,los_angeles,warehouse,2190
176,miami,full_service_restaurant,247
177,miami,hospital,1785
178,miami,large_hotel,714
179,miami,large_office,1710
180,miami,medium_office,792
181,miami,midrise_apartment,374
182,miami,outpatient_healthcare,658
183,miami,primary_school,3280
184,miami,quick_service_restaurant,135
185,miami,secondary_school,5625
186,miami,small_hotel,477
187,miami,small_office,285
188,miami,stand_alone_retail,1098
189,miami,strip_mall,999
190,miami,supermarket,1998
191,miami,warehouse,2190
192,minneapolis,full_service_restaurant,247
193,minneapolis,hospital,1785
194,minneapolis,large_hotel,714
195,minneapolis,large_office,1710
196,minneapolis,medium_office,792
197,minneapolis,midrise_apartment,374
198,minneapolis,outpatient_healthcare,658
199,minneapolis,primary_school,3280
200,minneapolis,quick_service_restaurant,135
201,minneapolis,secondary_school,5625
202,minneapolis,small_hotel,477
203,minneapolis,small_office,285
204,minneapolis,stand_alone_retail,1098
205,minneapolis,strip_mall,999
206,minneapolis,supermarket,1998
207,minneapolis,warehouse,2190
208,phoenix,full_service_restaurant,247
209,phoenix,hospital,1785
210,phoenix,large_hotel,714
211,phoenix,large_office,1710
212,phoenix,medium_office,792
213,phoenix,midrise_apartment,374
214,phoenix,outpatient_healthcare,658
215,phoenix,primary_school,3280
216,phoenix,quick_service_restaurant,135
217,phoenix,secondary_school,5625
218,phoenix,small_hotel,477
219,phoenix,small_office,285
220,phoenix,stand_alone_retail,1098
221,phoenix,strip_mall,999
222,phoenix,supermarket,1998
223,phoenix,warehouse,2190
224,san_francisco,full_service_restaurant,247
225,san_francisco,hospital,1785
226,san_francisco,large_hotel,714
227,san_francisco,large_office,1710
228,san_francisco,medium_office,792
229,san_francisco,midrise_apartment,374
230,san_francisco,outpatient_healthcare,658
231,san_francisco,primary_school,3280
232,san_francisco,quick_service_restaurant,135
233,san_francisco,secondary_school,5625
234,san_francisco,small_hotel,477
235,san_francisco,small_office,285
236,san_francisco,stand_alone_retail,1098
237,san_francisco,strip_mall,999
238,san_francisco,supermarket,1998
239,san_francisco,warehouse,2190
240,seattle,full_service_restaurant,247
241,seattle,hospital,1785
242,seattle,large_hotel,714
243,seattle,large_office,1710
244,seattle,medium_office,792
245,seattle,midrise_apartment,374
246,seattle,outpatient_healthcare,658
247,seattle,primary_school,3280
248,seattle,quick_service_restaurant,135
249,seattle,secondary_school,5625
250,seattle,small_hotel,477
251,seattle,small_office,285
252,seattle,stand_alone_retail,1098
253,seattle,strip_mall,999
254,seattle,supermarket,1998
255,seattle,warehouse,2190
